Pytanie;Odpowied?
Ile dni urlopu przys?uguje pracownikowi?;Pracownikowi przys?uguje 20 dni urlopu rocznie, je?li jest zatrudniony krócej ni? 10 lat, oraz 26 dni, je?li jest zatrudniony co najmniej 10 lat.
Od czego zale?y liczba dni urlopu?;Liczba dni urlopu zale?y od ogólnego sta?u pracy pracownika, w tym równie? od poprzednich okresów zatrudnienia.
Jakie ?wiadczenia socjalne oferuje firma?;Firma oferuje ?wiadczenia socjalne takie jak dofinansowanie do wypoczynku, paczki ?wi?teczne dla dzieci pracowników oraz zapomogi losowe.
Co zrobi? w przypadku wypadku przy pracy?;W przypadku wypadku przy pracy nale?y niezw?ocznie powiadomi? prze?o?onego oraz dzia? BHP, a tak?e zabezpieczy? miejsce wypadku.
Jak zg?osi? chorob??;Chorob? nale?y zg?osi? prze?o?onemu oraz dostarczy? zwolnienie lekarskie najpó?niej w ci?gu 7 dni od jego wystawienia.
Kiedy wyp?acane jest wynagrodzenie?;Wynagrodzenie wyp?acane jest ostatniego dnia roboczego miesi?ca.
Jak regulowane s? premie?;Premie s? regulowane na podstawie wewn?trznego regulaminu premiowania i zale?? od wyników pracy oraz osi?gni?cia okre?lonych celów.
Komu przys?uguje komputer s?u?bowy?;Komputer s?u?bowy przys?uguje pracownikom, których stanowisko pracy wymaga korzystania z komputera.
Jakie s? warunki zamawiania telefonu s?u?bowego?;Telefon s?u?bowy przys?uguje pracownikom na stanowiskach kierowniczych oraz tym, którzy cz?sto kontaktuj? si? z klientami.
Jak kontrolowany jest czas pracy?;Czas pracy kontrolowany jest za pomoc? systemu rejestracji wej?? i wyj?? oraz ewidencji czasu pracy.
Jakie s? zasady korzystania z urlopu na ??danie?;Pracownik ma prawo do 4 dni urlopu na ??danie w ci?gu roku, które mo?e wykorzysta? bez wcze?niejszego uzgadniania terminu.
Czy mo?liwa jest praca zdalna?;Praca zdalna jest mo?liwa w uzasadnionych przypadkach, za zgod? prze?o?onego i w zale?no?ci od charakteru wykonywanej pracy.
Jakie s? zasady przyznawania awansów?;Awanse przyznawane s? na podstawie oceny wyników pracy, zaanga?owania oraz posiadanych kwalifikacji.
Czy firma oferuje szkolenia dla pracowników?;Tak, firma oferuje szkolenia podnosz?ce kwalifikacje zawodowe, zarówno wewn?trzne, jak i zewn?trzne.
Jakie s? zasady korzystania z samochodu s?u?bowego?;Samochód s?u?bowy przys?uguje pracownikom na stanowiskach wymagaj?cych cz?stych podró?y s?u?bowych.
Czy firma zapewnia opiek? medyczn??;Tak, firma zapewnia prywatn? opiek? medyczn? dla pracowników oraz mo?liwo?? obj?cia opiek? cz?onków rodziny.
Jakie s? zasady korzystania z pakietu sportowego?;Pracownicy mog? korzysta? z pakietu sportowego na preferencyjnych warunkach, który obejmuje dost?p do obiektów sportowych.
Czy firma oferuje ubezpieczenie na ?ycie?;Tak, firma oferuje grupowe ubezpieczenie na ?ycie na preferencyjnych warunkach.
Jakie s? zasady przyznawania nagród jubileuszowych?;Nagrody jubileuszowe przyznawane s? za d?ugoletni? prac? w firmie, zgodnie z wewn?trznym regulaminem.
Czy mo?liwe jest elastyczne godziny pracy?;Elastyczne godziny pracy s? mo?liwe do ustalenia indywidualnie z prze?o?onym, w zale?no?ci od potrzeb dzia?u i charakteru pracy.
